name,title,url_link,online
MBCNEWS,16강서 멈춘 '아시아의 반란'..가능성•과제 남긴 한국 축구 - [카타르NOW] MBC뉴스 2022년 12월 6일,https://www.youtube.com//watch?v=bcYjIL-AKAo,실시간
TIMES NOW,Ukraine War Update Live: Russian Soldier Saves Lives By Driving Burning Ammunition Truck |World News,https://www.youtube.com//watch?v=M1LL0Z39CIA,
TIMES NOW,"US News Live: Two Power Stations Shot At In North Carolina, Leaving Thousands Without Electricity",https://www.youtube.com//watch?v=CyBSybAMbew,
ESPN,"MNF Recap, Rolling or Folding + Week 14  Waiver Wire | Fantasy Focus 🏈",https://www.youtube.com//watch?v=ailXjUj5P9c,
Yahoo Finance,Stock Market Coverage - Tuesday Morning December 6 Yahoo Finance,https://www.youtube.com//watch?v=VULeBKRAdlQ,
CNN-News18,Landslide In Colombia Today Live News | Bogota Landslide News Live | English News Live | News18 Live,https://www.youtube.com//watch?v=brc3GcBe4Tk,
India Today,LIVE Now: A Closer Look To The Exit Polls | Who Is Winning & Why? | Rahul Kanwal & Rajdeep Sardesai,https://www.youtube.com//watch?v=NuRHPqYj5U8,
TIMES NOW,"Russia-Ukraine War Live: Russia Says Ukraine Committing '""Nuclear Terrorism"" Over Zaporizhzhia Plant",https://www.youtube.com//watch?v=wm5IRh0ksZw,
Cricket South Africa,CSA One Day Cup | Eastern Storm vs Limpopo Impalas | Div 2,https://www.youtube.com//watch?v=aZuApDhsLJE,실시간
World Table Tennis,LIVE! ITTF World Youth Championships 2022 | Day 3 | Table 2 | Session 2,https://www.youtube.com//watch?v=htJWbxAFRs8,
Spiritual Mantra,LIVE SHRI KRISHNA GOVIND HARE MURARI | VERY BEAUTIFUL SONG - POPULAR KRISHNA BHAJAN,https://www.youtube.com//watch?v=duJCfnkp9wA,
Peppa Pig - Official Channel,🔴 LIVE Peppa Pig's Clubhouse 🐷🏠 BRAND NEW SEASON 9 PEPPA,https://www.youtube.com//watch?v=2_RUZRYIMN8,
