name,title,url_link,online
MBC every1,"🔴LIVE l 어-하🖐 연말에도 함께 하는 #어서와한국은처음이지 정주행 스트리밍☃️ l 스페인, 벨기에, 빌푸네밥상, 팀로우, 아르헨티나 등 l #MBCevery1",https://www.youtube.com//watch?v=pMgi3UOE2I0,
맛있는 녀석들 (Tasty Guys),하늘은 높고 살은 내가 찌는 ★천고마뚱★ 사골 스트리밍 랜덤 라이브,https://www.youtube.com//watch?v=AvrP5xodcLU,
MBN News,"[MBN LIVE/아침&매일경제] 서훈 구속에…또 입연 文 ""귀중한 자산 꺾여"" 與 ""도 넘는 저항"" - 2022.12.05 (월)",https://www.youtube.com//watch?v=a4b4IVl2_jE,실시간
PTC PUNJABI,"Official Live Telecast from Sachkhand Sri Harmandir Sahib Ji, Amritsar | PTC Punjabi | 05.12.2022",https://www.youtube.com//watch?v=PJe5l_j6P7w,
가로세로연구소,매일 오전 7시 30분 김소연의 모닝커피!!!,https://www.youtube.com//watch?v=4cix1_s2K6o,
서울의소리 Voice of Seoul,"[유용화의 뉴스 코멘터리] 12/5(월) '끝까지 추적, 범죄행위 말살?' 尹, 민주노총 파업에 악당 프레임",https://www.youtube.com//watch?v=Qz1wkvGXRRg,실시간
815머니톡,"[LIVE] 11월 3.9조 매도한 개인투자자, 증권사 순이익 -43%급감, 증권사 구조조정 칼바람 (장시작전, 12월5일) 장시영,김민수,민재기,이상엽",https://www.youtube.com//watch?v=uV_ma1jwteo,실시간
 해보라,🔴[LIVE 12월5일] 비둘기로 변신한 파월의 속내ㅣ KBS 해 볼만한 아침 M&W,https://www.youtube.com//watch?v=KKe_Encus6w,실시간
윤희숙TV,"[월요모닝LIVE] 합법파업보장법 만들자는 이재명, 저 무식을 어찌할꼬? (2022.12.05)",https://www.youtube.com//watch?v=jZI5S4JwXBA,실시간
K-POP 발라드 모음,1990년대 ~ 2000년대 감성 발라드 모음💖하루 종일 듣기 좋은 베스트 100곡💖 겨울 에 듣고 싶은 발라드 명곡,https://www.youtube.com//watch?v=6ZzPRkDI-mY,
Animal Doodles,Stop motion ASMR - Catfish hunting Colorful carp koi fish - 다채로운 잉어물고기 | 거대한 개구리 - 무지개 메기/ 스톱 모션,https://www.youtube.com//watch?v=UO2kBs9XM_o,실시간
USGS,"Mauna Loa Eruption, HI - USGS live stream",https://www.youtube.com//watch?v=SnjGqn1K9ZQ,
Pea Pea World,Pea Pea와 자이언트 프링글스 감자 칩 챌린지 - 재미있는 스톱 모션 만화,https://www.youtube.com//watch?v=jLmJ4716PwM,실시간
Pico Pocky,ASMR MUKBANG | 직접 만든 갤럭시 꿀젤리 블루 디저트 아이스크림 먹방 & 레시피 DESSERT Galaxy Honey Jelly Color CANDY mukbang,https://www.youtube.com//watch?v=-Id0Y9HIBkA,
MBCNEWS,"""브라질 잡자"" 선수들 자신감 충전..역대전적 열세에 ""축구는 모른다"" [카타르NOW] (mbc뉴스 2022년 12월4일)",https://www.youtube.com//watch?v=5zDYOLJ4MkY,실시간
MBCNEWS,"피파랭킹 1위, 선수 몸값만 1.5조..국대 16강전 상대 브라질 전력은? [카타르NOW] (MBC뉴스 2022년 12월 4일)",https://www.youtube.com//watch?v=SGCNj_eyHQM,실시간
TIMES NOW,"Russia-Ukraine War Live: Putin's Suicide Drone Scare Ukraine,  Destroy Artillery",https://www.youtube.com//watch?v=Q-zvRkLYX-A,
Rock Music,"Top 100 Best Classic Rock Songs Of All Time Vol 107 🔥 Guns N Roses,Metallica,Queen,U2,CCR,Bon Jovi",https://www.youtube.com//watch?v=R3RX7QybW2M,실시간
Oh Santa,"Pop Christmas Songs Playlist 2023🎅🏼Merry Christmas 2023🎄Mariah Carey, Ariana Grande, Kelly Clarkson🎄",https://www.youtube.com//watch?v=3kr46S2LrHs,실시간
999 Animation,"EEK! Help Rainbow Friends: Sad Story of Blue, Pink, Green, Purple, Red, Orange (Cartoon Animation)",https://www.youtube.com//watch?v=ZpbnGSuvWF4,실시간
The Critical Drinker,Drinker's VIP Lounge - Matthew Marsden,https://www.youtube.com//watch?v=IkKAmkwBuN0,
Cafe Music BGM channel,Smooth Jazz Weekend Music - Relaxing Smooth Instrumental Jazz Playlist,https://www.youtube.com//watch?v=oy4LwkER380,
