name,title,url_link,online
MBCNEWS,28골 쏟아졌다..16강 경기 H/L[카타르NOW] (mbc뉴스 2022. 12. 07),https://www.youtube.com//watch?v=y7l93zCSLwY,실시간
TIMES NOW,Ukraine War Update Live : Russian Soldier Saves Lives By Driving Burning Ammunition Truck,https://www.youtube.com//watch?v=fxaAd3QESF0,
WFAA,The Aaron Dean Trial Live: The Death of Atatiana Jefferson (Day 3 - Part 2),https://www.youtube.com//watch?v=SMd1n7plF4U,
TIMES NOW,Turkey News Live: Oil Tanker Traffic Jam Forms In Turkey After Russian Price Cap,https://www.youtube.com//watch?v=D6-o1fDpwpQ,
WION,Russia-Ukraine war live: US reacts to strikes inside Russia as third Russian airbase attacked | WION,https://www.youtube.com//watch?v=W113yYcMcvw,
KBS News,"[LIVE] 언제, 어디서나 KBS NEWS D",https://www.youtube.com//watch?v=TnByeBRsWZ8,실시간
India Today,Watch Live: Delhi MCD Election Results LIVE Updates | MCD Election Counting | BJP Vs AAP In Delhi,https://www.youtube.com//watch?v=CYsJ6sFaQw4,
India Today,MCD Election Counting LIVE: BJP Vs AAP In Delhi | MCD Election Counting | MCD Election Results LIVE,https://www.youtube.com//watch?v=wKwMGW96nFE,
TIMES NOW,Ex-Albanian President Punched Live | Sali Berisha Left With Black Eye During Anti-Govt Protest,https://www.youtube.com//watch?v=ltMzlYKFfDY,
CNN-News18,Senator Tred Cruz Accuses US President Joe Biden Of Corruption | USA News | English News Live,https://www.youtube.com//watch?v=qKmA8gaLAoA,
Noticias Telemundo,Manifestantes protestan en Perú después de que el presidente Castillo decretara disolver el Congreso,https://www.youtube.com//watch?v=5851LR2AGqM,
CNN-News18,Ukrainian President Zelenskyy Awards Ukrainian Prisoners Who Returned From Russia | News18 Live,https://www.youtube.com//watch?v=olV_mgBN7B0,
Reuters,LIVE: Protests in Lima after Peruvian President Pedro Castillo dissolves Congress,https://www.youtube.com//watch?v=FJZlBSnLkMw,
Simplilearn,🔥SEO Expert Full Course 2022 | SEO Tutorial For Beginners | SEO Full Course 2022 | Simplilearn,https://www.youtube.com//watch?v=ZHA_t0robxQ,
Zee News,Delhi MCD Result Live: AAP को मिला पूर्ण बहुमत | Arvind Kejriwal | BJP Vs AAP | Live News | PM Modi,https://www.youtube.com//watch?v=kBkq_8ugZHM,
TIMES NOW,Russia War Update Live : Putin Drives Mercedes Across Crimea Bridge Damaged During Ukraine War,https://www.youtube.com//watch?v=6bBfTdLwiw8,
CNN-News18,Spain Train Collision | 155 Injured In Train Collision Near Barcelona In Spain | English News Live,https://www.youtube.com//watch?v=TGTJuSLeP94,
Peppa Pig - Official Channel,🔴 Giant Peppa Pig and George Pig! LIVE FULL EPISODES 24 Hour Livestream!,https://www.youtube.com//watch?v=UijDOYh9iRU,
Peppa Pig - Official Channel,🔴 Peppa Pig Tales 🐷 BRAND NEW Peppa Pig Full Episodes 🐷 LIVE 24/7 Official Stream 🐷 Updated Weekly!,https://www.youtube.com//watch?v=TGncckRQlwk,
CNN-News18,Harry & Meghan Trailer Teases Explosive Revelations About UK Royal Family | UK News | News18 Live,https://www.youtube.com//watch?v=wgymxp__Qio,
