name,title,url_link,online
MBC every1,"🔴LIVE l 어-하🖐 연말에도 함께 하는 #어서와한국은처음이지 정주행 스트리밍☃️ l 스페인, 벨기에, 빌푸네밥상, 팀로우, 아르헨티나 등 l #MBCevery1",https://www.youtube.com//watch?v=pMgi3UOE2I0,
Pea Pea World,Pea Pea와 자이언트 프링글스 감자 칩 챌린지 - 재미있는 스톱 모션 만화,https://www.youtube.com//watch?v=jLmJ4716PwM,실시간
사랑의교회,주후 2022년 12월 4일  주일예배,https://www.youtube.com//watch?v=BYmtKTkcSWE,
맛있는 녀석들 (Tasty Guys),하늘은 높고 살은 내가 찌는 ★천고마뚱★ 사골 스트리밍 랜덤 라이브,https://www.youtube.com//watch?v=AvrP5xodcLU,
스픽스,"📍[노디쇼 몰아보기] 김용민, 대통령보다 더 높은 김건희/임경택·최진봉, 검찰 뒷거래설/변희재, 안정권 공개 저격/김용태·박진영, 윤석열 전당대회 딜레마/권현문, 눈칫밥 집권당",https://www.youtube.com//watch?v=xiYKxuQqhkg,실시간
연세중앙교회 Yonsei Central Baptist Church,연세중앙교회 실시간 방송,https://www.youtube.com//watch?v=0w14RHusg4I,실시간
CelebrationTV,ANOINTING SERVICE WIth Apostle Johnson Suleman (4th Dec 2022),https://www.youtube.com//watch?v=HuFwmHSil_o,실시간
순복음안디옥교회,순복음안디옥교회 기도학교실황,https://www.youtube.com//watch?v=wbZfRWzE0q0,실시간
KBS 1라디오,[KBS 1라디오] 실시간 스트리밍,https://www.youtube.com//watch?v=BQa08T3lIOo,실시간
마재TV,얼마나야하길래 19!?세 게임,https://www.youtube.com//watch?v=2yFTo6Y97TA,실시간
TRANS7 OFFICIAL,[LIVE] IESF 2022 MLBB WORLD CHAMPIONSHIP MOBILE LEGENDS (04/12/22),https://www.youtube.com//watch?v=CIdoy6gdwAU,
Crictales,PAKISTAN vs ENGLAND 1st TEST MATCH LIVE SCORES & COMMENTARY | PAK vs ENG DAY 4 LIVE,https://www.youtube.com//watch?v=cRdfpVT95GM,
유튜브실사원김록이목사,억지로 진 십자가(막15:21~23) 2022.12.4.주일오전10시30분예배 #김록이목사의마가복음강해 #마가복음강해 #그레이스힐링교회 #유튜브실사원 #김록이목사,https://www.youtube.com//watch?v=TLwFCZTJ94Y,실시간
만물도깨비,[🔴LIVE 생방송] 만물도깨비경매장 日요일 현장경매 실시간생중계 (2022.12.04),https://www.youtube.com//watch?v=Yyv9V288k1E,
공부하는지호 Ziho,(22.12.04.일) Study with me/🔥모닥불 ASMR/실시간 공부 방송/ 스터디 윗미/ 교시제/ 수능/ 공시생/ 고시생/ 스윗미/ 라이브/ LIVE,https://www.youtube.com//watch?v=PW6CwG4PUbA,
