name,title,url_link,online
MSNBC,Kornacki Cam - Watch Steve Kornacki Analyze Georgia Runoff Election Data | MSNBC,https://www.youtube.com//watch?v=4Pr0M1rgkL4,
WION,Russia-Ukraine war live: Russia accuses Ukraine of drone attacks on its two air bases | WION Live,https://www.youtube.com//watch?v=dKzfaZPOcHw,
채널A 뉴스,"김진의 돌직구 쇼 / 대통령실, ‘천공의혹’ 김종대 고발 · 한동훈, 김의겸-더탐사 등에 10억",https://www.youtube.com//watch?v=rJqdA7MK0aM,실시간
UFC - Ultimate Fighting Championship,"UFC 282 PREDICTIONS!!! | Round-Up w/ Paul Felder,  Michael Chiesa & Guest Billy Quarantillo 👊",https://www.youtube.com//watch?v=aRMaHqcWcWc,
TIMES NOW,Ukraine War Update Live: Russian Soldier Saves Lives By Driving Burning Ammunition Truck,https://www.youtube.com//watch?v=jajHH2PnP7w,
TIMES NOW,Russia-Ukraine Live: Moscow Claims Kyiv Attacked Kursk Airport After Explosions At Russian Air Bases,https://www.youtube.com//watch?v=K8GSBgG9jT4,
CBS News,LIVE: CBS News Prime Time with John Dickerson,https://www.youtube.com//watch?v=zg1wBsTcCa0,
Windies Cricket,🔴 LIVE RADIO | West Indies Women v England Women | CG United 2022 ODI Series | 2nd ODI,https://www.youtube.com//watch?v=YUbGzd7gQ7U,
ABC News,ABC News Prime: Georgia Senate runoff coverage; Trump Org. found guilty of tax fraud on all counts,https://www.youtube.com//watch?v=8Yo7_GCmUy0,
CNN-News18,Landslide In Colombia Today Live News | Bogota Landslide News Live | English News Live | News18 Live,https://www.youtube.com//watch?v=xkLbVIBS6QM,
CNN-News18,GOP Senators Seek Vote On Military Vaccine | GOP Slams President Joe Biden | USA News | News18 Live,https://www.youtube.com//watch?v=ZHIeVAdP2l8,
TIMES NOW,China Covid Protest LIVE: Is China's Capital Beijing Easing Zero-Covid Policy After Protests?,https://www.youtube.com//watch?v=qK_nuXR5Gmc,
KBS 1라디오,"최태원 이혼 SK 지배구조 영향 없다 + “연말 카드 쓸 일 많은데” 카드사 ‘무이자 할부’ 줄여 + 기초연금 인상 野 ""즉각 시행"" vs 與 ""연금개혁 연계“",https://www.youtube.com//watch?v=JJsAt5-ngks,실시간
English Speeches,ENGLISH SPEECH | The Best SPEECHES Ever (English Subtitles),https://www.youtube.com//watch?v=xg444aMAaQM,
뉴스TVCHOSUN,[TV CHOSUN LIVE] 12월 7일 (수) 신통방통 - 최태원-노소영 재산분할 판결,https://www.youtube.com//watch?v=4qoeEZ-ZdGM,실시간
NTV Kenya,NTV Kenya Livestream | November 2022,https://www.youtube.com//watch?v=Zs2nvOEGtRk,실시간
Peppa Pig - Official Channel,🔴 LIVE Peppa Pig's Clubhouse 🐷🏠 BRAND NEW SEASON 9 PEPPA,https://www.youtube.com//watch?v=2_RUZRYIMN8,
몽키비지엠 MONKEYBGM,"❄️겨울 타나봐… 따뜻한 재즈가 필요해🥰 l 𝐖𝐈𝐍𝐓𝐄𝐑 𝐉𝐀𝐙𝐙 l Relaxing Jazz Piano Music for Cafe, Study, Work, Focus",https://www.youtube.com//watch?v=OBpyOr_6NRY,
Super Simple Songs - Kids Songs,🔴 Super Simple Songs Holiday Livestream 🎁🎅🎄| Kids Christmas Songs | Super Simple Songs,https://www.youtube.com//watch?v=jW-F8G6wM-w,
Peppa Pig - Official Channel,🔴 Peppa Pig Tales 🐷 BRAND NEW Peppa Pig Full Episodes 🐷 LIVE 24/7 Official Stream 🐷 Updated Weekly!,https://www.youtube.com//watch?v=Ck0niRRD0OQ,
Red Bull Batalla,PARTIDO DE CAMPEONES | Red Bull Batalla 2022,https://www.youtube.com//watch?v=-xPyVtPyFlQ,
Cafe Music BGM channel,WEDNESDAY MORNING JAZZ: Relaxing December Jazz & Sweet Bossa Nova Music for Good Mood,https://www.youtube.com//watch?v=MSi0lFWNUCc,
13WMAZ,Georgia runoff election results | Live updates,https://www.youtube.com//watch?v=zutzPj_EePM,
BabyBus - Kids Songs and Cartoons,🔴 LIVE | Police Officer Rescues Baby | Police Cartoon | Cartoon for Kids | BabyBus,https://www.youtube.com//watch?v=88VIIsuuvDQ,실시간
PokerGO,High Stakes Duel Preview Show | Phil Hellmuth vs Jason Koon,https://www.youtube.com//watch?v=bIRZ9iw8VZY,
Roland S. Martin,Ga. Runoff Election; Cop on trial for Atatiana Jefferson death; Criminal charge referrals for Jan. 6,https://www.youtube.com//watch?v=DVTqmlSCX-E,
Chill Music Lab,작업 음악 라디오  - 생산성 향상,https://www.youtube.com//watch?v=2tOimhZORrg,
Peppa Pig - Nursery Rhymes and Kids Songs,LIVE 🔴 Boo Boo Song 🌈 Nursery Rhymes + More Kids Songs,https://www.youtube.com//watch?v=skD0AIgtk4s,
4K Video Nature - Focus Music,12 Hours of Christmas Music | Traditional Instrumental Christmas Songs Playlist | Piano & Guitar,https://www.youtube.com//watch?v=cgN7geAHTzk,
The Young Turks,Pence Backed Law Helps FLIP Abortion Ban. Trump Org Found GUILTY. Ex-Aide Floats Bid AGAINST Trump,https://www.youtube.com//watch?v=2D4Yyr16CMc,
YTN 사이언스,[건강정보-LIVE] 합병증이 더 무서운 고혈압. 진단과 예방법 (김근호 교수_한양대학교병원),https://www.youtube.com//watch?v=6sgcoR_f9UY,
Jaiden Animations,SUBATHON DAY 20- STARDEW VALLEY w/ ILLYMATION & ANTIDARKHEART!,https://www.youtube.com//watch?v=94wp0NywUqg,
팩트TV NEWS,2022.12.07. (생중계) 더불어민주당 - 최고위원회의,https://www.youtube.com//watch?v=wJX1-4ClOaw,실시간
Relax Cafe Music,Wednesday Morning Jazz - Winter Bossa Nova and Jazz Music to Relax,https://www.youtube.com//watch?v=NLNeRRFxoRQ,
Relax Music,Winter JAZZ - Cozy Jazz Music - Relaxing Winter Background Music,https://www.youtube.com//watch?v=kvc5oHIKkMM,
Love YourSelf,"Нежная музыка, успокаивает нервную систему и радует душу - лечебная музыка для сердца и сосудов #154",https://www.youtube.com//watch?v=QhWtZRu7bGc,
Booba – Cartoon for Kids,Booba 🔴 LIVE - All the best episodes compilation of 2022 - Cartoon for kids,https://www.youtube.com//watch?v=SNV3WXxvtO4,
Oh Santa,"Top Hits of the 2000's 💓Avril Lavigne, NSYNC, Backstreet Boys, Eminem, Beyoncé, Rihanna",https://www.youtube.com//watch?v=EzbHWV3vzdQ,실시간
Proper Racer,Monster Trucks Potholes Flatbed Long Trailer Truck Car Rescue - Cars vs Deep Water - BeamNG.drive,https://www.youtube.com//watch?v=SZBUxvUzO0k,실시간
Republic World,Gujarat-Himachal Pradesh Exit Poll 2022 | Most Accurate Exit Poll With Arnab | P-MARQ Poll | LIVE,https://www.youtube.com//watch?v=b7vksvvq8Gk,
Wolfoo Series - Official Channel,🔴 LIVE | Lucy Makes Tiny House Under the Bed with Wolfoo @wolfooseries-officialchannel,https://www.youtube.com//watch?v=OsYzf-fmcV8,
News Nation,TV News Live: Russia Ukraine War Conflict  | MCD Election Result Live | Global Warming | China War,https://www.youtube.com//watch?v=qcsT_h8chzs,
Swagg,"🔴 LIVE - FAZE SWAGG - $100,000 2v2 Warzone Tournament",https://www.youtube.com//watch?v=-Wk0rr9pOOQ,
123 GO! SCHOOL,COOL PARENTING HACKS || RICH VS POOR! Survival Guide For Students! Funny Ideas by 123GO! SCHOOL,https://www.youtube.com//watch?v=BmFuUijTzNQ,
Animal Stop Motion Cooking,Stop motion ASMR - Catfish hunting Colorful carp koi fish - 다채로운 잉어물고기 | 거대한 개구리 - 무지개 메기/ 스톱 모션,https://www.youtube.com//watch?v=FhHTjGcDjMQ,
123 GO! SCHOOL,COOL & CHEAP IDEAS FOR SCHOOL || Take Care Of Your Money! Funny Situations by 123GO! SCHOOL,https://www.youtube.com//watch?v=VH_RFqt-Lss,
Animal Stop Motion Cooking,Stop motion ASMR - Catfish hunting Colorful carp koi fish  - 다채로운 잉어물고기 | 거대한 개구리 - 무지개 메기/ 스톱 모션,https://www.youtube.com//watch?v=1X8_HUl6qKQ,
SMC,Someone Please Help Poor ANNOYING ORANGE | Talking Fruti In Real Life | Stop Motion ASMR,https://www.youtube.com//watch?v=UZJ8jTfPsrY,
Animal Stop Motion Cooking,Stop motion ASMR - Catfish hunting Colorful carp koi fish  - 다채로운 잉어물고기 | 거대한 개구리 - 무지개 메기/ 스톱 모션,https://www.youtube.com//watch?v=MobtxOtOkas,
123 GO! FOOD,SMART PARENTING HACKS & TRICKS || Good VS Bad Parents! Best Snack Situations by 123 GO! FOOD,https://www.youtube.com//watch?v=w99Bf8olNFo,
RATATA CHALLENGE,CAKE DECORATING CHALLENGE || Rich vs Poor vs Giga Rich Food! Sweet Battle by RATATA CHALLENGE,https://www.youtube.com//watch?v=cYDlatLj0EU,실시간
123 GO! Genius,GENIUS PARENTING HACKS AND BEST MAKEUP TUTORIALS ||School Funny DIY Ideas and Tips By 123 GO! Genius,https://www.youtube.com//watch?v=aSX9gJe0X1g,실시간
Music Hits,Greatest Hits 90s Oldies Music 1320 📀 Best Music Hits 90s Playlist 📀 Music Hits Oldies But Goodies,https://www.youtube.com//watch?v=6Nu2fRwxaWY,실시간
Ontub Channel,"Mukbang ASMR Rice Cake Tteokbokki, Fire Noodles, Hot Dog, Eggs  | Poppy Playtime Eating",https://www.youtube.com//watch?v=wqnLnN8Gwnk,
RATATA BOOM!,BEST WAYS OF SNEAKING FOOD INTO CLASS || Rich vs Broke! BACK TO SCHOOL Situations by RATATA BOOM,https://www.youtube.com//watch?v=7shyeLaEFqk,실시간
