name,title,url_link,online
MBCNEWS,16강 대진표 확정..대한민국 경쟁팀 조별리그 3차전 H/L 몰아보기 [카타르NOW] (MBC뉴스 2022년12월3일),https://www.youtube.com//watch?v=_M1F9v5ANsc,실시간
MBCNEWS,"""브라질 잡자"" 선수들 자신감 충전..역대전적 열세에 ""축구는 모른다"" [카타르NOW] (mbc뉴스 2022년 12월4일)",https://www.youtube.com//watch?v=5zDYOLJ4MkY,실시간
TIMES NOW,"Ukraine Russia War Live: In Latest Headache To West, Moscow Tests New Anti-Ballistic Missile System",https://www.youtube.com//watch?v=tZO8vfvb-DI,
TIMES NOW,China Covid Protest Live : Xi Softens After Massive Protests Engulf Beijing Over Pandemic Lockdown,https://www.youtube.com//watch?v=3mx_j77GHhw,
TIMES NOW,"Live: Taliban Founder's Son Refuses To Meet Pak Deputy FM Hina Rabbani, Cracks In Ties Deepening?",https://www.youtube.com//watch?v=1hgEy6yR9JA,
TIMES NOW,"Ukraine War Live: Putin Signed Order To Kill Zelensky Before Invasion, Hid War Plan From His Forces",https://www.youtube.com//watch?v=KMBTEIVpWmM,
Shemaroo Bhakti,LIVE: शनिदेव मंत्र जाप | Shani Mantra Chanting | Nilanjana Samabhasam,https://www.youtube.com//watch?v=dQTpIQeKXAc,
CNN-News18,Tik Tok Poses National Security Concerns: FBI Director | Trump News | US News Live | News18 Live,https://www.youtube.com//watch?v=KRCJ1fGYrM0,
KBS 1라디오,[KBS 1라디오] 실시간 스트리밍,https://www.youtube.com//watch?v=BQa08T3lIOo,실시간
India Today,MCD Elections 2022 LIVE: AAP Vs BJP In Delhi | Delhi Civic Body Polling Today LIVE,https://www.youtube.com//watch?v=kmb2f7NRpjA,
CNN-News18,Twitter CEO Elon Musk Exposes US President Joe Biden's Son Hunter Biden | US News Live |English News,https://www.youtube.com//watch?v=Pb4T7IZmlSg,
CNN-News18,Xi Jinping Takes One Step Back To Prepare For Two Steps Forward Later | China Protest News LIVE,https://www.youtube.com//watch?v=7jrGkqzQKR8,
몽키비지엠 MONKEYBGM,"🥤Cafe & Relaxing Jazz Piano Background Music for study, work, focus l 카페재즈, 매장음악, 라운지재즈",https://www.youtube.com//watch?v=WH7dreuzQLY,
몽키비지엠 MONKEYBGM,"🎹적당히 포근한 방구석 재즈🧡l 𝐇𝐞𝐚𝐥𝐢𝐧𝐠  𝐉𝐚𝐳𝐳 l Relaxing Jazz Piano Music,Calm, Meditation, Stress relief",https://www.youtube.com//watch?v=RPnJ8ugbPv0,
BabyBus - Kids Songs and Cartoons,🔴 LIVE | Police Officer Rescues Baby | Police Cartoon | Cartoon for Kids | BabyBus,https://www.youtube.com//watch?v=7u--unhq0xw,실시간
미니특공대TV,🌟미니특공대 전 시리즈 전 편  연속보기 방송!🌟,https://www.youtube.com//watch?v=b9h52YZfUmY,
Virtual Railfan,"Skykomish, Washington USA - Virtual Railfan LIVE",https://www.youtube.com//watch?v=SQNffPcObfI,
편안한 음악기도기도,Relaxing Christmas Music 🎄 Instrumental Christmas Songs & Carols,https://www.youtube.com//watch?v=Ct8Q8k8ugqA,
Ethereum,Ethereum Foundation: What Is The Crypto Bottom? Ethereum/Bitcoin News!,https://www.youtube.com//watch?v=w7y-U8Mt8o8,실시간
Pete Bellis & Tommy,Deep House 2022 I Chill Out Feelings Mix,https://www.youtube.com//watch?v=DQdricYJk9g,실시간
Oh Santa,Merry Christmas 2022  🎷 Top Christmas Songs Playlist 2022 🤶️ Best Pop Christmas Songs Ever🤶️ 🎷,https://www.youtube.com//watch?v=UdG4tfms0P4,실시간
Coffee Relaxing Jazz,Instrumental Christmas Jazz Music🎄Cozy Christmas Ambience with Cracking Fireplace for Relaxing 🔥,https://www.youtube.com//watch?v=5F8aQ2ohsiY,실시간
맛있는 녀석들 (Tasty Guys),하늘은 높고 살은 내가 찌는 ★천고마뚱★ 사골 스트리밍 랜덤 라이브,https://www.youtube.com//watch?v=AvrP5xodcLU,
YTN 사이언스,"남성들 잘 걸리는 대장암, 원인과 조기진단법_박지원 교수(서울대학교병원 대장항문외과)",https://www.youtube.com//watch?v=rkrpvbckQwI,
Yellow Brick Cinema - Relaxing Music,"🔴 Relaxing Music 24/7, Healing Music, Meditation Music, Spa Music, Sleep, Zen, Flowing Stream",https://www.youtube.com//watch?v=1fBsi2n7zu4,
Republic Bharat,"LIVE: Delhi MCD Election 2022 के लिए Delhi तैयार, Police की नजर | Delhi Voting News | R Bharat",https://www.youtube.com//watch?v=38iSvPuSbxI,
Animal Adventure Park,Johari the Giraffe & Jungle Bells Event Cam of Animal Adventure,https://www.youtube.com//watch?v=dMEbp9obKhg,
ENJO World TV,[DinoCore Heroes] FULL SEASON 3🦸‍♂️Heros Dinosaur Kids Story 🦖Dinosaur Cartoon | GO DINOCORE,https://www.youtube.com//watch?v=9yWdgLGHMEY,
Starbucks Music,"Good Morning With Starbucks Music - Elegant Coffee Jazz & Bossa Nova Music For New Week Lucky, Happy",https://www.youtube.com//watch?v=1b401KmoRbI,실시간
한성교회 Happy People,22.12.04 [행복한 한성교회] 주일예배 실시간 LIVE,https://www.youtube.com//watch?v=YovZyRvtlNw,실시간
Country Music alldaynew,The Best Of Classic Country Songs Of All Time 1331 🤠 Greatest Hits Old Country Songs Playlist 1331,https://www.youtube.com//watch?v=ks0tsAQjLgA,실시간
Old Song Music,[ 광고 없음 ] 상처받은 이들에게💕추억의 힐링올드팝송모음💕 Greatest Oldies songs,https://www.youtube.com//watch?v=qjAGk2d8GQo,실시간
MauLer,EFAP #215 - Full story break down of God of War: Ragnarok with MarctheCyborg and Theo,https://www.youtube.com//watch?v=E-P_XgySA0E,
사랑의교회,주후 2022년 12월 4일  주일예배,https://www.youtube.com//watch?v=BYmtKTkcSWE,
Magic Club,"Ibiza Summer Mix 2023 - Best Of Vocals Deep House, Nu disco Chill Out Mix - Remixes Popular Songs",https://www.youtube.com//watch?v=5Zx4QEychrM,
MrGear,Giant Balloons of Coca Cola & Fanta & Sprite VS Mentos,https://www.youtube.com//watch?v=SMuOVYSzFpY,
Animal Stop Motion Cooking,Stop motion ASMR - Catfish hunting Colorful carp koi fish  - 다채로운 잉어물고기 | 거대한 개구리 - 무지개 메기/ 스톱 모션,https://www.youtube.com//watch?v=lt1Kfu3GObg,
123 GO! FOOD,FANTASTIC FOOD HACKS AND SCHOOL CRAFTS|| How To Sneak Food ! The Best Challenges by 123 GO! FOOD,https://www.youtube.com//watch?v=J_LIkJn8Ins,
R&B MIX,"OLD SCHOOL RNB MIX 90s - 2000s 👑👑👑 Ne Yo, Rihanna, Beyonce, Chris Brown, Alicia Keys 112",https://www.youtube.com//watch?v=20zP4w5BGeg,
PIKABU,ASMR MUKBANG | 직접 만든 갤럭시 꿀젤리 블루 디저트 아이스크림 먹방 & 레시피 DESSERT Galaxy Honey Jelly MUKBANG,https://www.youtube.com//watch?v=ipegpPsEf1I,실시간
Watchers Club,"Night walking tour Seoul - Itaewon live of the day "" Nobody Knew? "" 그날의 이태원 라이브 재방송",https://www.youtube.com//watch?v=xNRmJDYpl_c,
서은일상이야기,프링글스 자판기 아이스크림 초콜릿 디저트 Pringles Chocolate Ice Cream Candy Dessert Mukbang,https://www.youtube.com//watch?v=PB081-rg9_Q,실시간
Pea Pea World,Pea Pea와 자이언트 프링글스 감자 칩 챌린지 - 재미있는 스톱 모션 만화,https://www.youtube.com//watch?v=jLmJ4716PwM,실시간
123 GO! Genius,GENIUS PARENTING HACKS AND BEST MAKEUP TRICKS ||School Funny DIY Ideas and Tips By 123 GO! Genius,https://www.youtube.com//watch?v=sMOFOlf3HPc,실시간
만나 미디어교회,[주일예배] 스바냐 - 겸손한 두려움의 회복 - 김병삼 목사 | 2022-12-04,https://www.youtube.com//watch?v=D6ES5eR1YTw,실시간
Yum Yum,ASMR MUKBANG | 직접 만든 갤럭시 꿀젤리 블루 디저트 아이스크림 먹방 & 레시피 DESSERT Galaxy Honey Jelly Color CANDY mukbang,https://www.youtube.com//watch?v=Z7rdcdHzvzk,실시간
Experiment X R,Zadruga 6 uzivo [HD],https://www.youtube.com//watch?v=hrWUs-SpNxQ,실시간
English Songs,Billboard Best Songs Collection💗 Pop Music 2023 New Song 🥒 New Popular Songs 2023💗English Songs,https://www.youtube.com//watch?v=n6aedkVCbDw,실시간
Woa Parody,Funniest Moments of Wolfoo And Friends - Wolfoo Cartoon In Real Life | Woa Parody,https://www.youtube.com//watch?v=9MDsHTRyUvE,
MetaIlica,"James Hetfield: 72 Seasons (playing full album) & Lux Aeterna, world tour 2023 - LIVE, Metallica",https://www.youtube.com//watch?v=44pSRnoir0g,실시간
Pico Pocky,ASMR RAINBOW DESSERTS 무지개 디저트 코하쿠토 닉클립 MUKBANG Galaxy Honey Jelly,https://www.youtube.com//watch?v=E7Wui5RyNc4,
Pico Pocky,Black VS Blue Food Dessert Mukbang 빨간색 파란색 디저트 먹방 MUKBANG Galaxy Honey Jelly,https://www.youtube.com//watch?v=uEZh63OIIWw,
Sykkuno,BIG YUGIOH TOURNAMENT TODAY WILL LESLIE FINALLY SEND ME TO THE SHADOW REALM ?!,https://www.youtube.com//watch?v=31-Mgw02WYg,
GhostNinja,Fortnite is BACK ONLINE! (Chapter 4),https://www.youtube.com//watch?v=hf0wEFwvFl4,
Metallica LIVE,"James Hetfield: 72 Seasons (playing full album) & Lux Aeterna, world tour 2023 - LIVE, Metallica",https://www.youtube.com//watch?v=okDfOw1ATv4,실시간
19.08 XMas,Merry Christmas 2023 🎅🏼 Best Non Stop Christmas Songs Medley 2023 🎄 Top Best Christmas Songs 2023,https://www.youtube.com//watch?v=MYn9tywBytw,실시간
WorldCam,🌎 LIVE Cam: Kaanapali Beach Maui Hawaii,https://www.youtube.com//watch?v=EDzQRspanZc,
Gentle Melody,"Relaxing Christmas Music 2023, Heavenly Christmas Music, Christmas Carols, Cozy Christmas Ambience",https://www.youtube.com//watch?v=rFTzavkwMlU,
K-POP 발라드 모음,"듣기만 해도 설레는 1990 년 발라드모음 우리가 사랑했던 추억노래💖우리가 잊고 있었던, 추억이 되어버린 20년 전 그 노래 들 💖가을에 듣기 좋은 노래 베스트",https://www.youtube.com//watch?v=eZ-xVlOSJhE,
K-POP 발라드 모음,일할 때 듣기 좋은 노래 💖 1990년대 ~ 2000년대 감성 발라드 모음💖 하루 종일 듣기 좋은 베스트 40곡 - 비오는날 듣기 좋은 발라드곡 모음,https://www.youtube.com//watch?v=Bg8i47sl9ig,
