name,title,url_link,online
NBC News,LIVE: NBC News NOW - Jan. 6,https://www.youtube.com//watch?v=c4MsBhZzQjg,
CNN-News18,U.S. Says To Deploy HIMARS  Infantry To Estonia | Russia Ukraine War Updates | Russia News Live,https://www.youtube.com//watch?v=sSl1X5hA1vg,
CNN-News18,Foreign Fighters Back Ukrainian Forces In Frontline | Russia Vs Ukraine War Updates | English News,https://www.youtube.com//watch?v=sVStKXbKHk4,
CNN-News18,Londoners Have Little Sympathy For Prince Harry Revelation Of Fight With William | English News LIVE,https://www.youtube.com//watch?v=La8RLMYH42o,
CNN-News18,Russian President Vladimir Putin Fumes At Ukraine's Strike | Russia Vs Ukraine War Updates Live,https://www.youtube.com//watch?v=29ksvf8fCLU,
CNN-News18,Ukrainian City Of Bakhmut Ravaged By Russian Shelling | Russia Vs Ukraine War Update | News18 LIVE,https://www.youtube.com//watch?v=rxtawnyoA9U,
CNN-News18,Daily Life Continues For Kyiv Residents As Russian Ceasefire Kicks In | Russia Vs Ukraine War Update,https://www.youtube.com//watch?v=TupsL9AOeOo,
ABP NEWS,Kanjhawala Case LIVE: दिल्ली पुलिस की झूठ डायरी ! | Anjali Accident Case | Nidhi,https://www.youtube.com//watch?v=W0Ebjy6jqj4,
KBS Drama Classic,🔴 [LIVE]  #용의눈물  사극맛집 📺연속 실시간 스트리밍📺 ㅣ KBS방송,https://www.youtube.com//watch?v=SxQDlXsjuhY,실시간
CNN-News18,Putin Deploys New Zircon Hypersonic Cruise Missiles To Atlantic | Russia News | News18 Live,https://www.youtube.com//watch?v=48BKjUBpp60,
TIMES NOW,Battle For Bakhmut Live : Why Vladimir Putin Is Obsessed With The Small Yet Key Ukrainian City?,https://www.youtube.com//watch?v=Rt_IC7W1TOs,
TIMES NOW,Russia Ukraine War Live : Ukraine Clashes Continue Despite Russia’s Cease Fire Calls | World News,https://www.youtube.com//watch?v=2MRhEVqgAII,
TIMES NOW,Russia War Live: Why This Says Ukrainian Spy Chief Said  'Vladimir Putin Will Die Soon'?,https://www.youtube.com//watch?v=WGrMc3yDJy8,
TIMES NOW,Ukraine War Live: Here Are Putin's Top 'Super-Weapons'  Will They Give Russia An Edge? | World News,https://www.youtube.com//watch?v=DmjHOxHIZhs,
CNN-News18,Kevin McCarthy Continues His Fight For GOP House Speaker | US House Speaker Election News | US News,https://www.youtube.com//watch?v=q0CGIQKgh3k,
CNN-News18,Idaho Murders Latest News Updates Live | Idaho Authorities Have Released New Evidence | News18 Live,https://www.youtube.com//watch?v=2NR4klKkUmQ,
