name,title,url_link,online
Sky News,Watch live: Hawaii's Mauna Loa volcano continues to erupt,https://www.youtube.com//watch?v=JBmUDQifs-U,
SBS 뉴스,[LIVE] '세계 최강'을 맞아 최선을 다한 태극전사.. 경기 직후 경기장 모습은? / SBS,https://www.youtube.com//watch?v=WpsbgbZ1zwg,
KBS News,"⚽LIVE - 카타르까지 닿도록 대~한 민국!/대한민국 vs 브라질 16강전, 아시아 대표 8강을 노린다!/카타르 월드컵/이 시각 광화문 응원현장/KBS",https://www.youtube.com//watch?v=-BKMpJJ9f9w,실시간
TIMES NOW,Ukraine War Live : Russia Launches New Missile Attacks As Ukrainians Look For Shelter,https://www.youtube.com//watch?v=okNcBQE6U6w,
Law&Crime Network,Watch Live: Border Patrol Serial Killer Trial - TX v. Juan David Ortiz - Day 6,https://www.youtube.com//watch?v=LRAsAoUCl-s,
TIMES NOW,China Covid News Live: Massive Protest Near White House Against Xi Jinping Over Pandemic Lockdown,https://www.youtube.com//watch?v=GeYwwYCDm1U,
TIMES NOW,Russia-Ukraine War Live : Explosions At Russian Air Bases As Putin Presses Offensive On Bakhmut,https://www.youtube.com//watch?v=pZn4VKl4F00,
CBS News,"LIVE: Latest News, Breaking Stories and Analysis on December 5 | CBS News",https://www.youtube.com//watch?v=cKJpW_G0j_k,
CNN-News18,Russian Soldier Drives Burning Truck To Avoid Damage | Russia Vs Ukraine War Update | News18 Live,https://www.youtube.com//watch?v=jB-jk2nVlnk,
PokerStars,$109 SUNDAY MILLION - DAY 2 ♠️ Nick & Arlie ♠️ PokerStars,https://www.youtube.com//watch?v=rQ1c_JxpWEc,
CNN-News18,Alert Issued Across Ukraine | Explosions Hit Kyiv | Russia Ukraine War Updates | News18 Live,https://www.youtube.com//watch?v=-pZIhIypA74,
TIMES NOW,Ukraine Russia War Live : Zelensky Is Effectively Tackling Putin’s Army With World War Era Weapons,https://www.youtube.com//watch?v=jYBlhLv78lY,
India Today,Watch Live: India Today Exit Poll Results 2022 | Gujarat Elections | Himachal Pradesh | Delhi MCD,https://www.youtube.com//watch?v=_KnHD5ImfO4,
SBS 뉴스,[LIVE] 김태현의 정치쇼 - 12월 6일(화)｜SBS,https://www.youtube.com//watch?v=1Mrv5k6FV8I,
몽키비지엠 MONKEYBGM,"💽오늘의 텐션 UP‼️ 𝐃𝐀𝐈𝐋𝐘 𝐉𝐀𝐙𝐙💕 l  Relaxing Jazz Piano Music for Cafe, Work, Study",https://www.youtube.com//watch?v=fc96lcEsWis,
CNN-News18,Republicans Set To Investigate Hunter Biden | GOP To Target Biden Family | English News Live,https://www.youtube.com//watch?v=m5s8_l8E3Q8,
Peppa Pig - Official Channel,🔴 LIVE Peppa Pig's Clubhouse 🐷🏠 BRAND NEW SEASON 9 PEPPA,https://www.youtube.com//watch?v=-Tp0ytzeA80,
Super Simple Songs - Kids Songs,🔴 Super Simple Songs Holiday Livestream 🎁🎅🎄| Kids Christmas Songs | Super Simple Songs,https://www.youtube.com//watch?v=jW-F8G6wM-w,
Sakshi TV,LIVE: Rayalaseema Garjana: Kurnool People Demand For High Court | Big Question | Sakshi TV,https://www.youtube.com//watch?v=CuksvKQFiWU,
TV9 Telugu Live,Big News Big Debate LIVE | Minister Buggana Rajendranath Reddy Interview - TV9,https://www.youtube.com//watch?v=Z673msd3_W0,
HouseRules,"Rules Committee Meeting on HR 3648, HR 7946, Sen. Amendment to HR 8404 & Sen. Amendment to HR 7776",https://www.youtube.com//watch?v=_zqSMRtLSoU,
TBS 시민의방송,🔴[LIVE] 김어준의 뉴스공장 [12월 6일(화) / TBS],https://www.youtube.com//watch?v=NDyymx5mZqE,실시간
Music Brokers,BEACH & REGGAE 2022 - Live Radio🏝️🍹,https://www.youtube.com//watch?v=6lCwtfHgpb4,
Aaj Tak,🔴Gujarat Exit Poll LIVE: गुजरात में बीजेपी के वापसी के संकेत | Gujarat Elections |BJP |AAP |Congress,https://www.youtube.com//watch?v=pPxzmG62SLg,
Music Brokers,Relaxing Covers - Background Music 🍹,https://www.youtube.com//watch?v=Rs3EkbKoUig,
TV5 News ,LIVE : Modi and Chandrababu Interesting Conversation After Meeting | CM Jagan | Sharmila | TV5 News,https://www.youtube.com//watch?v=efXath_opDo,
Cafe Music BGM channel,"Jazz for Work - Smooth Jazz Instrumental for Energy, Concentration, and Relaxation",https://www.youtube.com//watch?v=DcmqjIUJIlo,
