name,title,url_link,online
K-POP 발라드 모음,일할 때 듣기 좋은 노래 💖 1990년대 ~ 2000년대 감성 발라드 모음💖 하루 종일 듣기 좋은 베스트 40곡 - 비오는날 듣기 좋은 발라드곡 모음,https://www.youtube.com//watch?v=Bg8i47sl9ig,
Pea Pea,Why Pea Pea Locked Up? - Stop Motion Cartoon,https://www.youtube.com//watch?v=I3fxRK_9zXc,
PBS NewsHour,"PBS NewsHour live episode, Dec. 5, 2022",https://www.youtube.com//watch?v=eXYr81ZpINQ,
MBN News,"[MBN LIVE/아침&매일경제] 대전시장 이어 권성동·충남지사도 ""실내 마스크 벗자"" - 2022.12.06 (화)",https://www.youtube.com//watch?v=otXOIo6DbxA,실시간
삼프로TV_경제의신과함께,"[오늘아침 라이브] 기다리는 산타랠리, 정말 올까요?_22.12.06_권순우, 박병창, 김한진, 김영익, 염승환",https://www.youtube.com//watch?v=2OiMNDKH7ro,
KBS 1라디오,[🔴최강시사LIVE]｜[임종석] “文 정치보복 배후는 尹…비겁하다”｜[정청래] 이재명 대표 '조용한' 취임 100일｜[김정재] 與 ‘국민공감’ 내일 출범… 전대 변수될까｜,https://www.youtube.com//watch?v=V9yi12UDqHE,실시간
The Young Turks,OVERHYPED “Twitter Files”REVEALED.Trump Calls To SUSPEND Constitution.Walker CLUELESS About OWN Race,https://www.youtube.com//watch?v=783yUJH5osE,
YTN 라디오,"🔴[뉴스킹] (허은아&장경태) 민노총 때리니 올랐다? 尹 지지율 상승 | 도이치모터스 주가조작 의혹, 새 국면 맞이할까? | 221206",https://www.youtube.com//watch?v=1XsNF_oWjEI,
목격자K,강용석이 해냈다!! 윤대통령 감사합니다!!,https://www.youtube.com//watch?v=5Bwv_nif5_Y,실시간
FOBOS PLANET,🔥 4K Fireplace Ambience (24/7 NO MUSIC). Fireplace with Burning Logs and Crackling Fire Sounds,https://www.youtube.com//watch?v=TMPLS4DWhig,
비하인드 BEHIND ,"[LIVE] 방탄소년단 지민(BTS JIMIN) 미국 일정 출국 BTS JIMIN Airport Departure [공항, 비하인드]",https://www.youtube.com//watch?v=fnGwOBEzLYQ,실시간
DarkViperAU,The Greatest Cayo Perico Speedrunner Ever Probably,https://www.youtube.com//watch?v=8yewKI6vbpA,
몽키비지엠 MONKEYBGM,"🎹적당히 포근한 방구석 재즈🧡l 𝐇𝐞𝐚𝐥𝐢𝐧𝐠  𝐉𝐚𝐳𝐳 l Relaxing Jazz Piano Music,Calm, Meditation, Stress relief",https://www.youtube.com//watch?v=JkgdvcSyRYE,
MBCNEWS,"🔴[현장LIVE]  축구대표팀, 16강전 직후 그라운드 현장 - [카타르NOW] MBC뉴스 2022년 12월 6일",https://www.youtube.com//watch?v=rjPDWzwzCzk,실시간
MBCNEWS,"🔴[현장LIVE] 16강전, 경기 직후 대표팀 인터뷰 - [카타르NOW] MBC뉴스 2022년 12월 6일",https://www.youtube.com//watch?v=HVsqKny0lyc,실시간
Global News,Mauna Loa volcano eruption: View from Northeast rift as lava threatens Hawaii's main highway | LIVE,https://www.youtube.com//watch?v=yxYZNGIpn2o,
Cafe Music BGM channel,"Jazz for Work - Smooth Jazz Instrumental for Energy, Concentration, and Relaxation",https://www.youtube.com//watch?v=DcmqjIUJIlo,
SBS 뉴스,[LIVE] 김태현의 정치쇼 - 12월 6일(화)｜SBS,https://www.youtube.com//watch?v=1Mrv5k6FV8I,
Music Brokers,Relaxing Covers - Background Music 🍹,https://www.youtube.com//watch?v=Rs3EkbKoUig,
CBS News,"LIVE: Latest News, Breaking Stories and Analysis on December 5 | CBS News",https://www.youtube.com//watch?v=cKJpW_G0j_k,
DrDisRespect,🔴LIVE - DR DISRESPECT - CALLISTO PROTOCOL PLAYTHROUGH - PART 2 FINALE,https://www.youtube.com//watch?v=M82eiTI9ERA,
PMOBarbados,Arrival of the President of the Republic of Cuba to Barbados for the Eighth CARICOM-Cuba Summit,https://www.youtube.com//watch?v=dwXgjnRLJHg,실시간
La Secta Deportiva,"🔴 QATAR 2022: JOGO BONITO, SAMBA Y CARNAVAL: BRASIL en CUARTOS DE FINAL 🔥 CR7 A ARABIA SAUDITA",https://www.youtube.com//watch?v=AT1CiIkLSYY,
TV5 News ,LIVE : Modi and Chandrababu Interesting Conversation After Meeting | CM Jagan | Sharmila | TV5 News,https://www.youtube.com//watch?v=efXath_opDo,
GNN,GNN Live | 24/7 News Updates | Dr. Shahid Masood | Arif Hameed Bhatti | Live Stream,https://www.youtube.com//watch?v=ESlqzM0P-ps,
Soft Rock,"Michael Bolton, Rod Stewart,chicago,  Phil Collins - Greatest Soft Rock Hits Collection 80s 90s",https://www.youtube.com//watch?v=tm3b1AVqnoc,실시간
CNN-News18,Russian Soldier Drives Burning Truck To Avoid Damage | Russia Vs Ukraine War Update | News18 Live,https://www.youtube.com//watch?v=jB-jk2nVlnk,
CNN-News18,Alert Issued Across Ukraine | Explosions Hit Kyiv | Russia Ukraine War Updates | News18 Live,https://www.youtube.com//watch?v=-pZIhIypA74,
Yellow Brick Cinema - Relaxing Music,"🔴 Relaxing Music 24/7, Healing Music, Meditation Music, Spa Music, Sleep, Zen, Study Music, River",https://www.youtube.com//watch?v=GAlrwXcwpzE,
H3 Podcast,I Sent An Impersonator To The Streamys - H3TV #60,https://www.youtube.com//watch?v=YaiCPHTOnsc,
TimTheTatman,🔴LIVE - TIMTHETATMAN UNLOCKS POLYATOMIC IN WARZONE 2!,https://www.youtube.com//watch?v=g03Wh6qRWIk,
Rock Music,"Top 100 Best Classic Rock Songs Of All Time Vol 108 🔥 Bon Jovi,Guns N Roses,Metallica,Queen,U2,CCR",https://www.youtube.com//watch?v=DtTRfxJBEPQ,실시간
The Independent,Live: Brazil fans celebrate as team beats South Korea 4-1,https://www.youtube.com//watch?v=2kFdUmqW2pg,
Sakshi TV,LIVE: Rayalaseema Garjana: Kurnool People Demand For High Court | Big Question | Sakshi TV,https://www.youtube.com//watch?v=CuksvKQFiWU,
Poker At The Lodge,LIVE Cash Game Poker | $5/5/10 No Limit Hold'Em With Forrest & Big Daddy Chaz,https://www.youtube.com//watch?v=ITpHB_DGpeE,실시간
티비텐 TV10,"방탄소년단(BTS) 지민, 인천공항 출국 | BTS JIMIN Airport Departure",https://www.youtube.com//watch?v=xrYAuUoLkrw,실시간
Ontub Channel,Mukbang Noodles & Cheese Hot Dog | Poppy Playtime Animation,https://www.youtube.com//watch?v=mdqwgNSPAgI,
HUM News,"🛑HUM NEWS LIVE: Latest Pakistan News, Live Updates, Headlines, Breaking News, Exclusive Coverage",https://www.youtube.com//watch?v=C8-vk2b0jvc,
Hindi hits LOve,Top 10 sad songs of Arijit Singh | Arijit sing heart touching songs,https://www.youtube.com//watch?v=S4dLdkCarhw,실시간
Metallica,"James Hetfield: 72 Seasons (full album preview) & Lux Aeterna, world tour 2023 - LIVE, Metallica",https://www.youtube.com//watch?v=A72-rpAy18o,실시간
Intrument Worship,Best Praise and Worship Songs 2022 - Best Christian Gospel Songs Of All Time - Praise & Worship,https://www.youtube.com//watch?v=EuzmfvE2vNI,실시간
ИНФОРМАТОР,ASMR MUKBANG | 직접 만든 갤럭시 꿀젤리 블루 디저트 아이스크림 먹방 & 레시피 DESSERT Galaxy Honey Jelly CANDY asmr #7,https://www.youtube.com//watch?v=WxQfjvhVvOg,
CNN-News18,Russian Airbase Attacked By Ukraine? | Russia Vs Ukraine War Update | Russia News | News18 Live,https://www.youtube.com//watch?v=Rq61taaRe14,
123 GO Like!,FUNNY DRAWING CHALLENGES AND DIY ART IDEAS || Crafty Hacks And Easy Painting Tricks By 123 GO Like!,https://www.youtube.com//watch?v=k9mXeKiMJhI,
Top Sertanejo Coleção,"Franco de Vita, Eros Ramazzotti, Ricardo Arjona, Chayanne, Enrique Iglesias, Ricky Martin, Juanes",https://www.youtube.com//watch?v=MoIdPHjfYmQ,실시간
TIMES NOW,'Dirty Game': Harry Attacks Royal Family 'planting Stories' In Explosive New Netflix Video,https://www.youtube.com//watch?v=yy1rygUHOZs,
Funny Max Show,Oops! Diaper Change Song - Taking Care of Baby,https://www.youtube.com//watch?v=TobMI8gRZeM,
Samirumba,Mukbang Giant Color Bottles Jelly drink 컬러 보틀 캔디 젤리 먹방 DESSERT Galaxy Honey Jelly Color #44,https://www.youtube.com//watch?v=6CkYs59g9_Y,
DJ Larissa Music ,"La Bouche, Real McCoy, Haddaway, ABBA, Joy - Cream Dance Hits of 90's - Best Of 90s Eurodance Hits",https://www.youtube.com//watch?v=16VhkFKj5xU,
Super Mango TV,Princess Fashion Dress Design Result with Friends - Hilarious Cartoon Animation,https://www.youtube.com//watch?v=Xjxyd6IHovs,
REO BrickFilm,Police Trying to Escape Toxic Slime Tank - Lego Police,https://www.youtube.com//watch?v=IBeI114RbKU,실시간
Peppa Pig - Official Channel,🔴 LIVE Peppa Pig's Clubhouse 🐷🏠 BRAND NEW SEASON 9 PEPPA,https://www.youtube.com//watch?v=-Tp0ytzeA80,
123 GO! SCHOOL,COOL & CHEAP IDEAS FOR SCHOOL || Take Care Of Your Money! Funny Situations by 123GO! SCHOOL,https://www.youtube.com//watch?v=4zx4aH2EwTY,
Game Red ball,"Join & Clash,Wacky Run,Going Balls,Squid 456 But It' Impostor,Pop Us,Squid Game 456,Poppy Run 3D",https://www.youtube.com//watch?v=h1opYjznVfA,
K-POP 발라드 모음,겨울 에 듣고 싶은 발라드 40곡 🎄⛄ 겨울 당신의 마음을 따뜻하게 해줄 한국 발라드 40곡⛄Merry christmas 2023,https://www.youtube.com//watch?v=D7h8IuSZFyk,
Rosemi Lovelock【NIJISANJI EN】,【SIGNALIS】NO AMMO CHALLENGE,https://www.youtube.com//watch?v=fHVv0sAqiP0,
Grxnt,"🔴FULL CHAPTER 4 *BATTLE PASS* UNLOCKED! (NEW items, Map, & MORE)",https://www.youtube.com//watch?v=VX3czAZkeME,
LA NACION,"Brasil VS. Corea, por el MUNDIAL QATAR 2022 - Seguí el partido",https://www.youtube.com//watch?v=6uDi0OESHHE,
OPM Love Songs,Paskong Pinoy Collection | Non-Stop Playlist🎁🎅🏻,https://www.youtube.com//watch?v=9Ll55yvCt1Y,
Rand al Thor 19,Xbox $70 Price Increase | Xbox Activision Deal Updates | Xbox Black Friday Victory? - XB2 244,https://www.youtube.com//watch?v=PyU2LX19Cwg,실시간
