name,title,url_link,online
Vatican News,Vatican Media Live,https://www.youtube.com//watch?v=2d1KRiWb2gE,
연합뉴스TV,[이슈한판] “불가능은 없다”...벤투호 세계 최강 브라질전에 다 쏟아부어! / 연합뉴스TV (YonhapnewsTV),https://www.youtube.com//watch?v=fCznzohnVDg,
Sky News,Watch live: Hawaii's Mauna Loa volcano continues to erupt,https://www.youtube.com//watch?v=JBmUDQifs-U,
CNN-News18,Israeli Aircraft Hits Gaza After Rocket Fire | Israel Attacks Gaza | Israel News | English News Live,https://www.youtube.com//watch?v=kJ3O4ISqfss,
KBS 1라디오,[KBS1 라디오] 실시간 스트리밍,https://www.youtube.com//watch?v=T_z4OOBAAzw,실시간
KBS News,🔴LIVE – 국회 외교통일위원회 전체회의/권영세 통일부 장관 참석/2022년 12월 5일(월)/KBS,https://www.youtube.com//watch?v=muYo4Eivzjc,실시간
LiveNOW from FOX,"Top stories, breaking news | LiveNOW from FOX",https://www.youtube.com//watch?v=y6FHIF_gZ48,
Sakshi TV Live,LIVE : Rayalaseema Garjana | Kurnool @SakshiTVLIVE,https://www.youtube.com//watch?v=4DnhZbRMaew,
SBS 뉴스,"[LIVE] 내일 새벽 브라질전 8강 도전! / '취임 100일' 이재명, 정부 여당 '경고'…사법리스크엔 '침묵' - 주영진의 뉴스브리핑 12/5(월) | SBS 모바일24",https://www.youtube.com//watch?v=1x8J2UaeWoI,
NDTV,"Key Polls In Mainpuri Lok Sabha Seat, 6 Assembly Segments Today | NDTV 24x7 Live TV",https://www.youtube.com//watch?v=auOhXdKxAlg,
Spiritual Mantra,LIVE: Shreeman Narayan Narayan Hari Hari - Dhun,https://www.youtube.com//watch?v=uyDOQwKiyjc,
CNN-News18,US Secretary of State Antony Blinken Warns Netanyahu Over West Bank Annexation | News18 Live,https://www.youtube.com//watch?v=iZ29tr7Hm0c,
깨비키즈 [KEBIKIDS],🔴 LIVE | 깨비키즈 곤충구조대 연속방송~ | 꿀벌 | 반딧불이 | 메뚜기 | 무한 스트리밍 | 깨비키즈 KEBIKIDS,https://www.youtube.com//watch?v=nOwKct1yMJE,
한경arteTV,[📺한경arteTV] 12/5 On Air,https://www.youtube.com//watch?v=esC6cCirQjs,실시간
PMB Music,Lounge Bar & Café - Cool Music,https://www.youtube.com//watch?v=IJ1J-W7RpuY,
