name,title,url_link,online
MBCNEWS,"""브라질 잡자"" 선수들 자신감 충전..역대전적 열세에 ""축구는 모른다"" [카타르NOW] (mbc뉴스 2022년 12월4일)",https://www.youtube.com//watch?v=5zDYOLJ4MkY,실시간
MBCNEWS,"피파랭킹 1위, 선수 몸값만 1.5조..국대 16강전 상대 브라질 전력은? [카타르NOW] (MBC뉴스 2022년 12월 4일)",https://www.youtube.com//watch?v=SGCNj_eyHQM,실시간
TIMES NOW,Russia Ukraine War Live: Satelite Images Show Moscow’s Massive Military Base In Occupied Mariupol,https://www.youtube.com//watch?v=G-yGxghdjzs,
LiveNOW from FOX,"Top stories, breaking news | LiveNOW from FOX",https://www.youtube.com//watch?v=y6FHIF_gZ48,
PokerStars,🔴  WEEKEND POKER MARATHON: The BEST POKER of ALL TIME! ♠️ PokerStars,https://www.youtube.com//watch?v=WRttGjEFQ6k,
NTV Kenya,NTV Kenya Livestream | November 2022,https://www.youtube.com//watch?v=MuyJqt6_2Jw,실시간
CNN-News18,Russian President Vladimir Putin Is Open To Talks And Diplomacy On Ukraine | Russia Vs Ukraine War,https://www.youtube.com//watch?v=Jd2kjgojIZ8,
Rainbow Six Esports,European Challenger League 2022 - Playday #7,https://www.youtube.com//watch?v=bTHVpCDL1Os,실시간
ABP NEWS,LIVE: कसाई ब्वॉयफ्रेंड के 'ड्रामा डोज' से पुलिस परेशान । Shraddha Murder Case । Delhi,https://www.youtube.com//watch?v=Mdgi4YNiKg0,
CNN-News18,Zelensky Says Cap On Russian Oil Insufficient | Russia Vs Ukraine War Update | English News Live,https://www.youtube.com//watch?v=iZVw5jy8M90,
TV9 Telugu Live,CM KCR Speech LIVE | TRS Mahabubnagar Public Meeting - TV9,https://www.youtube.com//watch?v=K1zA55UWj3w,
Elevation Church,Join us now for a new message from Pastor Steven Furtick! [2:00PM ET Service],https://www.youtube.com//watch?v=GJJYJwHhkYQ,
몽키비지엠 MONKEYBGM,☃️ 아름다운 오스트리아에 재즈가 내려요💛 l 𝐖𝐈𝐍𝐓𝐄𝐑 𝐉𝐀𝐙𝐙 l Relaxing Jazz Piano Music for Good Mood💓,https://www.youtube.com//watch?v=tK-ZIEQEXMY,
NTV Telugu,🔴CM KCR Speech at Mahabubnagar Public Meet Live | TRS Public Meet at Mahbubnagar | cmkcrlive | Ntv,https://www.youtube.com//watch?v=cjeETKGIT58,
USGS,"Mauna Loa Eruption, HI - USGS live stream",https://www.youtube.com//watch?v=SnjGqn1K9ZQ,
My Little Pony Official,🔴 My Little Pony: Friendship Is Magic ❄️ Celebrating Holidays,https://www.youtube.com//watch?v=cqmTmI40iJQ,
News24,Ravish Kumar News 24 पर Exclusive | 'TV मत देखिए..मैं बाज़ारू पत्रकार नहीं'। Ravish Kumar Interview,https://www.youtube.com//watch?v=onpZCm7iSAU,
Mark Goldbridge That's Football,ENGLAND vs SENEGAL LIVE Stream Watchalong | QATAR 2022,https://www.youtube.com//watch?v=xtPNemc5QgQ,실시간
SMITE by Titan Forge Games,SMITE PRO LEAGUE: PHASE 3 PLAYOFFS - DAY FOUR,https://www.youtube.com//watch?v=38DOeh8xoo4,
Videogyan Nursery Rhymes - Kids Songs & Cartoons,Play Safe Song & More | Cartoons For Kids | Nursery Rhymes & Funny Playtime Stories| Learning Songs,https://www.youtube.com//watch?v=Cabrslomhlw,실시간
